offer_id,offer_uid,offer_type,offer_pledge,offer_pledge_alt,offer_url,img_logo_url,update_time,bank_id,bank_uid,bank_type,bank_name,img_logo_url_alt,idx_license,bank_url,bank_phone,bank_address,bank_code,currency,url_with_details,rateMin,rateMax,meta_rateRange,amountMin,amountMax,meta_amountRange,termMin,termMax,periodFromNotation,periodToNotation,meta_termUnit,product_hash,is_actual,start_time,end_time,rateRange,fullCreditRateMin,fullCreditRateMax,amountRange,termUnit,issuanceCostMin,issuanceCostMax,annualServiceMin,annualServiceMax,cashWithdrawalsAtAtms,cashWithdrawalsAtOtherBankAtms,initialFeeMin,initialFeeMax
16908,376003,credit,Пенсионный (с обеспечением),Пенсионный (с обеспечением),https://www.banki.ru/products/credits/credit/3760/,,30.12.2025 16:29,191059,1910591,bank,Челябинвестбанк,,493,www.chelinvest.ru,+7 (351) 268-00-88,"454113, г. Челябинск, пл. Революции, д. 8",chelinvest,RUB,https://www.banki.ru/products/credits/credit/3760/,22.9,36.6,,30000,1000000,,31,1825,1m,5y,,cf1211313d964541164b56b70676c87a8fa8f0e4275d3501d24b78b0a597fe55,True,2026-01-07 13:39:00,,"22,9–36,6%",,,30 000–1 000 000 ₽,4,,,,,,,,
16767,100703,credit,Стандартный (с обеспечением),Стандартный (с обеспечением),https://www.banki.ru/products/credits/credit/1007/,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,30.12.2025 15:47,191044,1910441,bank,Челиндбанк,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,485,www.chelindbank.ru,8 800 500-18-00,"454091, г. Челябинск, ул. К. Маркса, д. 80",chelindbank,RUB,https://www.banki.ru/products/credits/credit/1007/,19.9,29.9,,15000,10000000,,31,1825,3y,5y,,892830e3b7386595911d28308cc025742648f33087f1b8093da83aea6169d81e,True,2026-01-07 13:39:00,,"19,9–29,9%",,,15 000–10 000 000 ₽,4,,,,,,,,
19469,20100803,credit,Под залог недвижимости,Под залог недвижимости,https://www.banki.ru/products/credits/credit/201008/,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,30.12.2025 15:49,191044,1910441,bank,Челиндбанк,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,485,www.chelindbank.ru,8 800 500-18-00,"454091, г. Челябинск, ул. К. Маркса, д. 80",chelindbank,RUB,https://www.banki.ru/products/credits/credit/201008/,20.5,22.0,,100000,10000000,,365,5475,3y,15y,,7662f36bdc4464d582dbbeae4b9ab7e438d5df520857473beb750195e2de97cb,True,2026-01-07 13:39:00,,"20,5–22%",,,100 000–10 000 000 ₽,4,,,,,,,,
16880,350703,credit,Пенсионный (с обеспечением),Пенсионный (с обеспечением),https://www.banki.ru/products/credits/credit/3507/,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,30.12.2025 15:48,191044,1910441,bank,Челиндбанк,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,485,www.chelindbank.ru,8 800 500-18-00,"454091, г. Челябинск, ул. К. Маркса, д. 80",chelindbank,RUB,https://www.banki.ru/products/credits/credit/3507/,21.9,29.9,,15000,1000000,,31,1825,3y,5y,,fdf78f7d098602177147630193f8257eac4f65774e301e6fb370c94fee5d8750,True,2026-01-07 13:39:00,,"21,9–29,9%",,,15 000–1 000 000 ₽,4,,,,,,,,
16766,100603,credit,Стандартный,Стандартный,https://www.banki.ru/products/credits/credit/1006/,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,30.12.2025 15:47,191044,1910441,bank,Челиндбанк,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,485,www.chelindbank.ru,8 800 500-18-00,"454091, г. Челябинск, ул. К. Маркса, д. 80",chelindbank,RUB,https://www.banki.ru/products/credits/credit/1006/,22.9,36.9,,15000,1000000,,31,1825,3y,5y,,2f99bc258234dd8882918246aaab1790ff3d201573bf1418ba13c0b0f57251da,True,2026-01-07 13:39:00,,"22,9–36,9%",,,15 000–1 000 000 ₽,4,,,,,,,,
16879,350603,credit,Пенсионный,Пенсионный,https://www.banki.ru/products/credits/credit/3506/,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,30.12.2025 15:48,191044,1910441,bank,Челиндбанк,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,485,www.chelindbank.ru,8 800 500-18-00,"454091, г. Челябинск, ул. К. Маркса, д. 80",chelindbank,RUB,https://www.banki.ru/products/credits/credit/3506/,25.9,31.9,,15000,500000,,31,1825,1m,5y,,173fdbbe3cfabc976bdd5ac4bc3046332f0ce2d24f3531850a04d2654e7983c9,True,2026-01-07 13:39:00,,"25,9–31,9%",,,15 000–500 000 ₽,4,,,,,,,,
17605,20100703,credit,Он-лайн-кредит,Он-лайн-кредит,https://www.banki.ru/products/credits/credit/201007/,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,30.12.2025 15:48,191044,1910441,bank,Челиндбанк,https://cdn.banki.ru/cdn/bank/191044_mobile_logo_url.png,485,www.chelindbank.ru,8 800 500-18-00,"454091, г. Челябинск, ул. К. Маркса, д. 80",chelindbank,RUB,https://www.banki.ru/products/credits/credit/201007/,34.9,34.9,,15000,500000,,92,1095,3m,3y,,0e2258ac2008f441812576871b8b359dd16c1aa7dccad6368ad16fb2c5ac7d45,True,2026-01-07 13:39:00,,"34,9%",,,15 000–500 000 ₽,4,,,,,,,,
19416,503503,credit,Под залог недвижимости,Под залог недвижимости,https://www.banki.ru/products/credits/credit/5035/,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,08.12.2025 18:58,191036,1910361,bank,Кредит Урал Банк,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,2584,www.creditural.ru,+7 (3519) 24-89-33,"455044, Челябинская обл., г. Магнитогорск, ул. Гагарина, д. 17
",credituralbank,RUB,https://www.banki.ru/products/credits/credit/5035/,21.6,23.6,,500000,15000000,,2555,7300,7y,20y,,478cac1577d95ab262f51854a38405cb999ec5a75bf8ead402a681acb60cce07,True,2026-01-07 13:39:00,,"21,6–23,6%",,,500 000–15 000 000 ₽,4,,,,,,,,
17455,20085603,credit,КУБ-Авто+,КУБ-Авто+,https://www.banki.ru/products/credits/credit/200856/,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,08.12.2025 18:57,191036,1910361,bank,Кредит Урал Банк,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,2584,www.creditural.ru,+7 (3519) 24-89-33,"455044, Челябинская обл., г. Магнитогорск, ул. Гагарина, д. 17
",credituralbank,RUB,https://www.banki.ru/products/credits/credit/200856/,26.65,30.65,,200000,7000000,,397,3650,13m,10y,,3df8eccce0b4d88c996cbe0a742d1aea35982d0de7df8e78d258681741e7eb62,True,2026-01-07 13:39:00,,"26,65–30,65%",,,200 000–7 000 000 ₽,4,,,,,,,,
16857,334203,credit,КУБ-Помощь,КУБ-Помощь,https://www.banki.ru/products/credits/credit/3342/,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,08.12.2025 18:56,191036,1910361,bank,Кредит Урал Банк,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,2584,www.creditural.ru,+7 (3519) 24-89-33,"455044, Челябинская обл., г. Магнитогорск, ул. Гагарина, д. 17
",credituralbank,RUB,https://www.banki.ru/products/credits/credit/3342/,27.4,29.65,,30000,5000000,,397,1825,13m,5y,,7c23bc2f674507f74d44e923ccb6f27fdbd2d6da19806398171db5d2e350bf35,True,2026-01-07 13:39:00,,"27,4–29,65%",,,30 000–5 000 000 ₽,4,,,,,,,,
